id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,popularite
hgss1-6,Jumpluff,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,4.99,5.12,2010/02/10,[189],sui,Non référencé
sm12-4,Vileplume-GX,Rare Holo GX,Cosmic Eclipse,Sun & Moon,5.19,,2019/11/01,[45],Kagemaru Himeno,Non référencé
base4-5,Clefable,Rare Holo,Base Set 2,Base,12.89,,2000/02/24,[36],Mitsuhiro Arita,Non référencé
pop3-5,Plusle,Rare,POP Series 3,POP,5.53,,2006/04/01,[311],Sumiyoshi Kizuki,Non référencé
ex7-6,Dark Hypno,Rare Holo,Team Rocket Returns,EX,22.89,24.32,2004/11/01,[97],Kouki Saitou,Non référencé
pl1-7,Dialga G,Rare Holo,Platinum,Platinum,8.0,4.56,2009/02/11,[483],Yusuke Ishikawa,#125
pl1-8,Gardevoir,Rare Holo,Platinum,Platinum,10.93,6.18,2009/02/11,[282],Kouki Saitou,#9
ex12-8,Lapras,Rare Holo,Legend Maker,EX,20.39,52.18,2006/02/01,[131],Kagemaru Himeno,#66
dp3-8,Gastrodon East Sea,Rare Holo,Secret Wonders,Diamond & Pearl,9.97,7.01,2007/11/01,[423],Kazuyuki Kano,Non référencé
ex14-4,Charizard δ,Rare Holo,Crystal Guardians,EX,295.44,420.41,2006/08/01,[6],Kouki Saitou,#4
pop9-3,Raichu,Rare,POP Series 9,POP,,7.84,2009/03/01,[26],Midori Harada,#165
ex11-6,Gardevoir δ,Rare Holo,Delta Species,EX,28.61,33.02,2005/10/31,[282],Mitsuhiro Arita,#9
hgss2-4,Metagross,Rare Holo,HS—Unleashed,HeartGold & SoulSilver,2.61,5.07,2010/05/12,[376],Wataru Kawahara,#34
col1-4,Espeon,Rare Holo,Call of Legends,HeartGold & SoulSilver,18.09,26.59,2011/02/09,[196],match,#46
bw5-4,Scyther,Uncommon,Dark Explorers,Black & White,,5.97,2012/05/09,[123],Naoki Saito,Non référencé
ex12-7,Kabutops,Rare Holo,Legend Maker,EX,14.67,19.97,2006/02/01,[141],Mitsuhiro Arita,Non référencé
hgss1-7,Ninetales,Rare Holo,HeartGold & SoulSilver,HeartGold & SoulSilver,18.15,15.35,2010/02/10,[38],TOKIYA,#91
dp1-5,Infernape,Rare Holo,Diamond & Pearl,Diamond & Pearl,6.4,7.99,2007/05/01,[392],Nakaoka,#40
base1-4,Charizard,Rare Holo,Base,Base,398.14,,1999/01/09,[6],Mitsuhiro Arita,#4
pl3-5,Garchomp,Rare Holo,Supreme Victors,Platinum,16.81,11.87,2009/08/19,[445],Mitsuhiro Arita,#7
ex9-6,Kyogre,Rare Holo,Emerald,EX,25.51,55.73,2005/05/01,[382],Masakazu Fukuda,#115
ex3-6,Grumpig,Rare Holo,Dragon,EX,11.35,4.32,2003/11/24,[326],Midori Harada,Non référencé
dp4-5,Pachirisu,Rare Holo,Great Encounters,Diamond & Pearl,7.32,4.7,2008/02/01,[417],Hironobu Yoshida,#200
pop3-6,Vaporeon,Rare,POP Series 3,POP,8.63,,2006/04/01,[134],Masakazu Fukuda,#118
hgss4-8,Rapidash,Rare Holo,HS—Triumphant,HeartGold & SoulSilver,6.97,7.64,2010/11/03,[78],Kyoko Umemoto,Non référencé
pl1-9,Giratina,Rare Holo,Platinum,Platinum,15.13,10.69,2009/02/11,[487],Kouki Saitou,#77
ex3-7,Minun,Rare Holo,Dragon,EX,24.58,12.02,2003/11/24,[312],Atsuko Nishida,Non référencé
dp4-4,Darkrai,Rare Holo,Great Encounters,Diamond & Pearl,7.24,7.94,2008/02/01,[491],Ryo Ueda,#44
pop1-4,Sceptile,Rare,POP Series 1,POP,9.31,,2004/09/01,[254],Hiromichi Sugiyama,#28
ex12-6,Golem,Rare Holo,Legend Maker,EX,4.68,12.99,2006/02/01,[76],Hajime Kusajima,Non référencé
base6-4,Dark Blastoise,Rare Holo,Legendary Collection,Other,88.3,343.15,2002/05/24,[9],Mitsuhiro Arita,#106
dp3-6,Gallade,Rare Holo,Secret Wonders,Diamond & Pearl,7.61,3.16,2007/11/01,[475],Daisuke Ito,#127
ex4-4,Team Aqua's Manectric,Rare Holo,Team Magma vs Team Aqua,EX,11.96,15.5,2004/03/01,[310],K. Utsunomiya,Non référencé
ex13-4,Deoxys δ,Rare Holo,Holon Phantoms,EX,14.98,44.0,2006/05/01,[386],Kagemaru Himeno,#179
dp3-7,Gardevoir,Rare Holo,Secret Wonders,Diamond & Pearl,18.48,17.68,2007/11/01,[282],Atsuko Nishida,#9
ex4-5,Team Aqua's Sharpedo,Rare Holo,Team Magma vs Team Aqua,EX,15.36,13.9,2004/03/01,[319],Katsura Tabata,Non référencé
pop5-3,Mew δ,Rare,POP Series 5,POP,140.0,,2007/03/01,[151],Masakazu Fukuda,#33
base6-6,Dark Persian,Rare Holo,Legendary Collection,Other,33.91,107.31,2002/05/24,[53],Shin-ichi Yoshida,Non référencé
ex9-7,Manectric,Rare Holo,Emerald,EX,3.57,24.86,2005/05/01,[310],Masakazu Fukuda,Non référencé
base1-5,Clefairy,Rare Holo,Base,Base,25.88,,1999/01/09,[35],Ken Sugimori,Non référencé
dp4-6,Porygon-Z,Rare Holo,Great Encounters,Diamond & Pearl,5.21,7.28,2008/02/01,[474],Kent Kanetsuna,#161
base1-2,Blastoise,Rare Holo,Base,Base,157.14,,1999/01/09,[9],Ken Sugimori,#106
ex8-4,Camerupt,Rare Holo,Deoxys,EX,7.12,5.97,2005/02/01,[323],Tomokazu Komiya,Non référencé
pop4-4,Mew,Rare,POP Series 4,POP,16.54,,2006/08/01,[151],Nakaoka,#33
dp1-4,Empoleon,Rare Holo,Diamond & Pearl,Diamond & Pearl,5.5,5.75,2007/05/01,[395],Nakaoka,#72
ex10-3,Bellossom,Rare Holo,Unseen Forces,EX,10.69,9.76,2005/08/01,[182],Kouki Saitou,Non référencé
ex7-5,Dark Houndoom,Rare Holo,Team Rocket Returns,EX,44.07,21.25,2004/11/01,[229],Mitsuhiro Arita,#120
base1-3,Chansey,Rare Holo,Base,Base,33.91,,1999/01/09,[113],Ken Sugimori,Non référencé
ex9-5,Groudon,Rare Holo,Emerald,EX,21.06,42.5,2005/05/01,[383],Kouki Saitou,#153
pl4-4,Kabutops,Rare Holo,Arceus,Platinum,5.24,4.68,2009/11/04,[141],Hajime Kusajima,Non référencé
base6-5,Dark Dragonite,Rare Holo,Legendary Collection,Other,83.12,337.5,2002/05/24,[149],Mitsuhiro Arita,#32
pop9-5,Rotom,Rare,POP Series 9,POP,5.3,,2009/03/01,[479],Masakazu Fukuda,#201
ex10-4,Feraligatr,Rare Holo,Unseen Forces,EX,28.1,10.08,2005/08/01,[160],Masakazu Fukuda,#97
pop1-5,Swampert,Rare,POP Series 1,POP,10.3,,2004/09/01,[260],Hiromichi Sugiyama,#56
