id,name,rarity,collection,series,holofoil_price,reverse_holofoil_price,release_date,nationalPokedexNumbers,artist,images_url,popularity_rank
sm10-205,Gardevoir & Sylveon-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,248.30,,2019/05/03,"[282, 700]",Atsuko Nishida,https://images.pokemontcg.io/sm10/205_hires.png,#6
smp-SM230,Charizard & Braixen-GX,Promo,SM Black Star Promos,Sun & Moon,26.72,,2017/02/03,"[6, 654]",Kagemaru Himeno,https://images.pokemontcg.io/smp/SM230_hires.png,#4
sm8-215,Shuckle-GX,Rare Rainbow,Lost Thunder,Sun & Moon,27.37,,2018/11/02,[213],5ban Graphics,https://images.pokemontcg.io/sm8/215_hires.png,#223
sm10-209,Green's Exploration,Rare Ultra,Unbroken Bonds,Sun & Moon,84.77,,2019/05/03,,Naoki Saito,https://images.pokemontcg.io/sm10/209_hires.png,Not Referenced
sm8-216,Sceptile-GX,Rare Rainbow,Lost Thunder,Sun & Moon,13.27,,2018/11/02,[254],Yoshinobu Saito,https://images.pokemontcg.io/sm8/216_hires.png,#28
sm12-231,Mallow & Lana,Rare Ultra,Cosmic Eclipse,Sun & Moon,65.31,,2019/11/01,,kirisAki,https://images.pokemontcg.io/sm12/231_hires.png,Not Referenced
sm8-219,Blacephalon-GX,Rare Rainbow,Lost Thunder,Sun & Moon,9.72,,2018/11/02,[806],5ban Graphics,https://images.pokemontcg.io/sm8/219_hires.png,Not Referenced
sm12-235,Roller Skater,Rare Ultra,Cosmic Eclipse,Sun & Moon,13.66,,2019/11/01,,nagimiso,https://images.pokemontcg.io/sm12/235_hires.png,Not Referenced
sm11-220,Raichu & Alolan Raichu-GX,Rare Ultra,Unified Minds,Sun & Moon,19.17,,2019/08/02,[26],ConceptLab,https://images.pokemontcg.io/sm11/220_hires.png,#165
sm11-221,Raichu & Alolan Raichu-GX,Rare Ultra,Unified Minds,Sun & Moon,131.95,,2019/08/02,[26],tetsuya koizumi,https://images.pokemontcg.io/sm11/221_hires.png,#165
sm10-216,Venomoth-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,8.26,,2019/05/03,[49],5ban Graphics,https://images.pokemontcg.io/sm10/216_hires.png,Not Referenced
smp-SM242,Eevee-GX,Promo,SM Black Star Promos,Sun & Moon,6.34,,2017/02/03,[133],aky CG Works,https://images.pokemontcg.io/smp/SM242_hires.png,#20
sm11-224,Aerodactyl-GX,Rare Ultra,Unified Minds,Sun & Moon,5.12,,2019/08/02,[142],ConceptLab,https://images.pokemontcg.io/sm11/224_hires.png,Not Referenced
sm11-225,Mega Sableye & Tyranitar-GX,Rare Ultra,Unified Minds,Sun & Moon,16.09,,2019/08/02,"[248, 302]",5ban Graphics,https://images.pokemontcg.io/sm11/225_hires.png,#12
sm10-221,Marshadow & Machamp-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,22.50,,2019/05/03,"[68, 802]",5ban Graphics,https://images.pokemontcg.io/sm10/221_hires.png,#152
sm10-227,Persian-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,8.48,,2019/05/03,[53],5ban Graphics,https://images.pokemontcg.io/sm10/227_hires.png,Not Referenced
sm11-235,Misty's Favor,Rare Ultra,Unified Minds,Sun & Moon,194.77,,2019/08/02,,Hideki Ishikawa,https://images.pokemontcg.io/sm11/235_hires.png,Not Referenced
sm8-236,Wait and See Hammer,Rare Secret,Lost Thunder,Sun & Moon,5.44,,2018/11/02,,Yoshinobu Saito,https://images.pokemontcg.io/sm8/236_hires.png,Not Referenced
sm12-253,Blastoise & Piplup-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,52.95,,2019/11/01,"[9, 393]",5ban Graphics,https://images.pokemontcg.io/sm12/253_hires.png,#38
sm10-231,Fire Crystal,Rare Secret,Unbroken Bonds,Sun & Moon,8.21,,2019/05/03,,Yoshinobu Saito,https://images.pokemontcg.io/sm10/231_hires.png,Not Referenced
sm12-254,Solgaleo & Lunala-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,61.78,,2019/11/01,"[791, 792]",Hideki Ishikawa,https://images.pokemontcg.io/sm12/254_hires.png,#108
sm11-238,Heatran-GX,Rare Rainbow,Unified Minds,Sun & Moon,8.41,,2019/08/02,[485],ConceptLab,https://images.pokemontcg.io/sm11/238_hires.png,Not Referenced
sm10-233,Pokégear 3.0,Rare Secret,Unbroken Bonds,Sun & Moon,47.10,,2019/05/03,,Studio Bora Inc.,https://images.pokemontcg.io/sm10/233_hires.png,Not Referenced
sm11-239,Slowpoke & Psyduck-GX,Rare Rainbow,Unified Minds,Sun & Moon,56.48,,2019/08/02,"[54, 79]",ConceptLab,https://images.pokemontcg.io/sm11/239_hires.png,#150
sm11-242,Mewtwo & Mew-GX,Rare Rainbow,Unified Minds,Sun & Moon,182.56,,2019/08/02,"[150, 151]",5ban Graphics,https://images.pokemontcg.io/sm11/242_hires.png,#33
swsh4-185,Pokémon Center Lady,Rare Ultra,Vivid Voltage,Sword & Shield,11.49,,2020/11/13,,Sanosuke Sakuma,https://images.pokemontcg.io/swsh4/185_hires.png,Not Referenced
smp-SM196,Mewtwo-GX,Promo,SM Black Star Promos,Sun & Moon,5.69,,2017/02/03,[150],MPC Film,https://images.pokemontcg.io/smp/SM196_hires.png,#33
swsh2-197,Dragapult VMAX,Rare Rainbow,Rebel Clash,Sword & Shield,13.71,,2020/05/01,[887],aky CG Works,https://images.pokemontcg.io/swsh2/197_hires.png,#11
swsh4-189,Coalossal VMAX,Rare Rainbow,Vivid Voltage,Sword & Shield,6.88,,2020/11/13,[839],5ban Graphics,https://images.pokemontcg.io/swsh4/189_hires.png,Not Referenced
swsh4-191,Togekiss VMAX,Rare Rainbow,Vivid Voltage,Sword & Shield,8.78,,2020/11/13,[468],5ban Graphics,https://images.pokemontcg.io/swsh4/191_hires.png,#139
swsh1-197,Snorlax V,Rare Ultra,Sword & Shield,Sword & Shield,10.52,,2020/02/07,[143],aky CG Works,https://images.pokemontcg.io/swsh1/197_hires.png,#89
swsh4-196,Nessa,Rare Rainbow,Vivid Voltage,Sword & Shield,6.67,,2020/11/13,,Ryuta Fuse,https://images.pokemontcg.io/swsh4/196_hires.png,Not Referenced
sm10-191,Pheromosa & Buzzwole-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,7.47,,2019/05/03,"[794, 795]",aky CG Works,https://images.pokemontcg.io/sm10/191_hires.png,#119
sm8-195,Shuckle-GX,Rare Ultra,Lost Thunder,Sun & Moon,5.93,,2018/11/02,[213],5ban Graphics,https://images.pokemontcg.io/sm8/195_hires.png,#223
xyp-XY197,Arceus,Promo,XY Black Star Promos,XY,6.64,,2013/10/12,[493],kirisAki,https://images.pokemontcg.io/xyp/XY197_hires.png,#63
sm12-210,Venusaur & Snivy-GX,Rare Ultra,Cosmic Eclipse,Sun & Moon,10.09,,2019/11/01,"[3, 495]",5ban Graphics,https://images.pokemontcg.io/sm12/210_hires.png,#104
swsh3-197,Rillaboom,Rare Secret,Darkness Ablaze,Sword & Shield,5.17,,2020/08/14,[812],5ban Graphics,,#216
swsh1-205,Stonjourner VMAX,Rare Rainbow,Sword & Shield,Sword & Shield,6.40,,2020/02/07,[874],5ban Graphics,https://images.pokemontcg.io/swsh1/205_hires.png,Not Referenced
xyp-XY200,M Sharpedo-EX,Promo,XY Black Star Promos,XY,9.37,,2013/10/12,[319],5ban Graphics,https://images.pokemontcg.io/xyp/XY200_hires.png,Not Referenced
sm8-200,Suicune-GX,Rare Ultra,Lost Thunder,Sun & Moon,10.48,,2018/11/02,[245],5ban Graphics,https://images.pokemontcg.io/sm8/200_hires.png,#57
smp-SM217,Trevenant & Dusknoir-GX,Promo,SM Black Star Promos,Sun & Moon,5.39,,2017/02/03,"[477, 709]",Mitsuhiro Arita,https://images.pokemontcg.io/smp/SM217_hires.png,Not Referenced
sm10-196,Muk & Alolan Muk-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,8.84,,2019/05/03,[89],5ban Graphics,https://images.pokemontcg.io/sm10/196_hires.png,#124
sm8-201,Zeraora-GX,Rare Ultra,Lost Thunder,Sun & Moon,8.46,,2018/11/02,[807],PLANETA Otani,https://images.pokemontcg.io/sm8/201_hires.png,#42
sm8-203,Tyranitar-GX,Rare Ultra,Lost Thunder,Sun & Moon,11.53,,2018/11/02,[248],5ban Graphics,https://images.pokemontcg.io/sm8/203_hires.png,#12
sm10-198,Marshadow & Machamp-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,22.05,,2019/05/03,"[68, 802]",5ban Graphics,https://images.pokemontcg.io/sm10/198_hires.png,#152
sm10-200,Greninja & Zoroark-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,14.22,,2019/05/03,"[571, 658]",5ban Graphics,https://images.pokemontcg.io/sm10/200_hires.png,#1
xyp-XY206,Gym Badge,Promo,XY Black Star Promos,XY,13.86,,2013/10/12,,Ryo Ueda,https://images.pokemontcg.io/xyp/XY206_hires.png,Not Referenced
sm12-220,Arceus & Dialga & Palkia-GX,Rare Ultra,Cosmic Eclipse,Sun & Moon,22.76,,2019/11/01,"[483, 484, 493]",5ban Graphics,https://images.pokemontcg.io/sm12/220_hires.png,#63
sm12-221,Arceus & Dialga & Palkia-GX,Rare Ultra,Cosmic Eclipse,Sun & Moon,179.42,,2019/11/01,"[483, 484, 493]",Kouki Saitou,https://images.pokemontcg.io/sm12/221_hires.png,#63
xyp-XY207,Gym Badge,Promo,XY Black Star Promos,XY,8.16,,2013/10/12,,Ryo Ueda,https://images.pokemontcg.io/xyp/XY207_hires.png,Not Referenced
sm10-201,Greninja & Zoroark-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,97.35,,2019/05/03,"[571, 658]",kodama,https://images.pokemontcg.io/sm10/201_hires.png,#1
sm10-203,Lucario & Melmetal-GX,Rare Ultra,Unbroken Bonds,Sun & Moon,11.50,,2019/05/03,"[448, 809]",5ban Graphics,https://images.pokemontcg.io/sm10/203_hires.png,#2
sm12-224,Naganadel & Guzzlord-GX,Rare Ultra,Cosmic Eclipse,Sun & Moon,47.61,,2019/11/01,"[799, 804]",Aya Kusube,https://images.pokemontcg.io/sm12/224_hires.png,Not Referenced
swsh1-216,Quick Ball,Rare Secret,Sword & Shield,Sword & Shield,9.30,,2020/02/07,,sadaji,https://images.pokemontcg.io/swsh1/216_hires.png,Not Referenced
smp-SM228,Armored Mewtwo,Promo,SM Black Star Promos,Sun & Moon,121.98,,2017/02/03,[150],2019 Pikachu Project,https://images.pokemontcg.io/smp/SM228_hires.png,#33
sm12-226,Mega Lopunny & Jigglypuff-GX,Rare Ultra,Cosmic Eclipse,Sun & Moon,87.00,,2019/11/01,"[39, 428]",Shibuzoh.,https://images.pokemontcg.io/sm12/226_hires.png,#159
sm8-214,Whitney,Rare Ultra,Lost Thunder,Sun & Moon,55.78,,2018/11/02,,Sanosuke Sakuma,https://images.pokemontcg.io/sm8/214_hires.png,Not Referenced
sm11-214,Rowlet & Alolan Exeggutor-GX,Rare Ultra,Unified Minds,Sun & Moon,7.42,,2019/08/02,"[103, 722]",ConceptLab,https://images.pokemontcg.io/sm11/214_hires.png,#16
sm10-210,Janine,Rare Ultra,Unbroken Bonds,Sun & Moon,11.12,,2019/05/03,,Hideki Ishikawa,https://images.pokemontcg.io/sm10/210_hires.png,Not Referenced
sm8-217,Virizion-GX,Rare Rainbow,Lost Thunder,Sun & Moon,7.63,,2018/11/02,[640],5ban Graphics,https://images.pokemontcg.io/sm8/217_hires.png,Not Referenced
sm12-232,N's Resolve,Rare Ultra,Cosmic Eclipse,Sun & Moon,39.31,,2019/11/01,,Mana Ibe,https://images.pokemontcg.io/sm12/232_hires.png,Not Referenced
sm11-217,Slowpoke & Psyduck-GX,Rare Ultra,Unified Minds,Sun & Moon,35.74,,2019/08/02,"[54, 79]",ConceptLab,https://images.pokemontcg.io/sm11/217_hires.png,#150
sm10-213,Red's Challenge,Rare Ultra,Unbroken Bonds,Sun & Moon,66.13,,2019/05/03,,Naoki Saito,https://images.pokemontcg.io/sm10/213_hires.png,Not Referenced
sm12-234,Red & Blue,Rare Ultra,Cosmic Eclipse,Sun & Moon,105.22,,2019/11/01,,Hitoshi Ariga,https://images.pokemontcg.io/sm12/234_hires.png,Not Referenced
sm12-236,Rosa,Rare Ultra,Cosmic Eclipse,Sun & Moon,201.59,,2019/11/01,,kirisAki,https://images.pokemontcg.io/sm12/236_hires.png,Not Referenced
sm10-215,Pheromosa & Buzzwole-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,12.61,,2019/05/03,"[794, 795]",aky CG Works,https://images.pokemontcg.io/sm10/215_hires.png,#119
sm8-221,Zeraora-GX,Rare Rainbow,Lost Thunder,Sun & Moon,22.43,,2018/11/02,[807],PLANETA Otani,https://images.pokemontcg.io/sm8/221_hires.png,#42
sm10-217,Reshiram & Charizard-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,134.98,,2019/05/03,"[6, 643]",aky CG Works,https://images.pokemontcg.io/sm10/217_hires.png,#4
sm10-219,Dedenne-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,12.27,,2019/05/03,[702],5ban Graphics,https://images.pokemontcg.io/sm10/219_hires.png,#73
sm8-225,Alolan Ninetales-GX,Rare Rainbow,Lost Thunder,Sun & Moon,31.20,,2018/11/02,[38],5ban Graphics,https://images.pokemontcg.io/sm8/225_hires.png,#91
sm12-241,Pikachu,Rare Secret,Cosmic Eclipse,Sun & Moon,45.67,,2019/11/01,[25],Hitoshi Ariga,https://images.pokemontcg.io/sm12/241_hires.png,#19
sm8-226,Mimikyu-GX,Rare Rainbow,Lost Thunder,Sun & Moon,69.55,,2018/11/02,[778],5ban Graphics,https://images.pokemontcg.io/sm8/226_hires.png,#3
sm10-220,Muk & Alolan Muk-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,14.69,,2019/05/03,[89],5ban Graphics,https://images.pokemontcg.io/sm10/220_hires.png,#124
sm8-227,Lugia-GX,Rare Rainbow,Lost Thunder,Sun & Moon,157.72,,2018/11/02,[249],PLANETA Igarashi,https://images.pokemontcg.io/sm8/227_hires.png,#15
sm12-243,Koffing,Rare Secret,Cosmic Eclipse,Sun & Moon,8.72,,2019/11/01,[109],HYOGONOSUKE,https://images.pokemontcg.io/sm12/243_hires.png,Not Referenced
sm10-222,Greninja & Zoroark-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,40.89,,2019/05/03,"[571, 658]",5ban Graphics,https://images.pokemontcg.io/sm10/222_hires.png,#1
sm11-229,Dragonite-GX,Rare Ultra,Unified Minds,Sun & Moon,13.77,,2019/08/02,[149],ConceptLab,https://images.pokemontcg.io/sm11/229_hires.png,#32
sm12-247,Steelix,Rare Secret,Cosmic Eclipse,Sun & Moon,5.82,,2019/11/01,[208],Avec Yoko,,Not Referenced
sm11-231,Blue's Tactics,Rare Ultra,Unified Minds,Sun & Moon,30.93,,2019/08/02,,Naoki Saito,https://images.pokemontcg.io/sm11/231_hires.png,Not Referenced
sm8-232,Electropower,Rare Secret,Lost Thunder,Sun & Moon,8.65,,2018/11/02,,Eske Yoshinob,https://images.pokemontcg.io/sm8/232_hires.png,Not Referenced
sm12-249,Venusaur & Snivy-GX,Rare Rainbow,Cosmic Eclipse,Sun & Moon,27.59,,2019/11/01,"[3, 495]",5ban Graphics,https://images.pokemontcg.io/sm12/249_hires.png,#104
sm8-234,Net Ball,Rare Secret,Lost Thunder,Sun & Moon,15.99,,2018/11/02,,Ryo Ueda,https://images.pokemontcg.io/sm8/234_hires.png,Not Referenced
sm10-228,Celesteela-GX,Rare Rainbow,Unbroken Bonds,Sun & Moon,6.86,,2019/05/03,[797],aky CG Works,https://images.pokemontcg.io/sm10/228_hires.png,Not Referenced
